127.0.0.1 - - [26/Dec/2018:09:34:16 +0800] "GET / HTTP/1.1" 200 11444
0:0:0:0:0:0:0:1 - - [26/Dec/2018:09:34:27 +0800] "GET /Book2/login.jsp HTTP/1.1" 200 5647
0:0:0:0:0:0:0:1 - - [26/Dec/2018:09:34:29 +0800] "GET /Book2/bootstrap/css/bootstrapValidator.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2018:09:34:29 +0800] "GET /Book2/iconfont/iconfont.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2018:09:34:29 +0800] "GET /Book2/bootstrap/js/bootstrapValidator.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2018:09:34:29 +0800] "GET /Book2/tu/t1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2018:09:34:44 +0800] "POST /Book2/AdminServlet HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [26/Dec/2018:09:34:48 +0800] "POST /Book2/AdminServlet HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [26/Dec/2018:09:34:48 +0800] "POST /Book2/AdminServlet?action=login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Dec/2018:09:34:49 +0800] "GET /Book2/index.jsp HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [26/Dec/2018:09:34:49 +0800] "GET /Book2/top.jsp HTTP/1.1" 200 1566
0:0:0:0:0:0:0:1 - - [26/Dec/2018:09:34:49 +0800] "GET /Book2/new.jsp HTTP/1.1" 200 712
0:0:0:0:0:0:0:1 - - [26/Dec/2018:09:34:49 +0800] "GET /Book2/left.jsp HTTP/1.1" 200 3065
0:0:0:0:0:0:0:1 - - [26/Dec/2018:09:34:49 +0800] "GET /Book2/tu/tng.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2018:09:34:49 +0800] "GET /Book2/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2018:09:34:49 +0800] "GET /Book2/js/jquery.js HTTP/1.1" 304 -
