127.0.0.1 - - [21/Dec/2018:08:06:48 +0800] "GET / HTTP/1.1" 200 11444
0:0:0:0:0:0:0:1 - - [21/Dec/2018:08:07:01 +0800] "GET /Book2/addAdmin1.jsp HTTP/1.1" 200 8263
0:0:0:0:0:0:0:1 - - [21/Dec/2018:08:07:03 +0800] "GET /Book2/bootstrap/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:08:07:03 +0800] "GET /Book2/bootstrap/css/bootstrapValidator.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:08:07:03 +0800] "GET /Book2/bootstrap/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:08:07:03 +0800] "GET /Book2/bootstrap/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:08:07:03 +0800] "GET /Book2/bootstrap/js/bootstrapValidator.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:08:07:03 +0800] "GET /Book2/iconfont/iconfont.js HTTP/1.1" 200 6028
0:0:0:0:0:0:0:1 - - [21/Dec/2018:08:07:04 +0800] "GET /Book2/tu/ta3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:08:07:04 +0800] "GET /Book2/bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:08:08:59 +0800] "GET /Book2/addAdmin1.jsp HTTP/1.1" 200 8658
0:0:0:0:0:0:0:1 - - [21/Dec/2018:08:08:59 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:08:09:45 +0800] "GET /Book2/addAdmin1.jsp HTTP/1.1" 200 8678
0:0:0:0:0:0:0:1 - - [21/Dec/2018:08:09:45 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:08:09:59 +0800] "GET /Book2/addAdmin1.jsp HTTP/1.1" 200 8678
0:0:0:0:0:0:0:1 - - [21/Dec/2018:08:10:00 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:08:10:15 +0800] "GET /Book2/addAdmin1.jsp HTTP/1.1" 200 8662
0:0:0:0:0:0:0:1 - - [21/Dec/2018:08:10:15 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:08:10:41 +0800] "GET /Book2/addAdmin1.jsp HTTP/1.1" 200 8678
0:0:0:0:0:0:0:1 - - [21/Dec/2018:08:10:41 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:08:11:03 +0800] "GET /Book2/addAdmin1.jsp HTTP/1.1" 200 8537
0:0:0:0:0:0:0:1 - - [21/Dec/2018:08:11:03 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:08:11:51 +0800] "GET /Book2/addAdmin1.jsp HTTP/1.1" 200 8537
0:0:0:0:0:0:0:1 - - [21/Dec/2018:08:11:51 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:08:11:55 +0800] "GET /Book2/login.jsp HTTP/1.1" 200 5395
0:0:0:0:0:0:0:1 - - [21/Dec/2018:08:11:55 +0800] "GET /Book2/tu/t1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:08:11:57 +0800] "GET /Book2/addAdmin1.jsp? HTTP/1.1" 200 8537
0:0:0:0:0:0:0:1 - - [21/Dec/2018:08:12:23 +0800] "GET /Book2/addAdmin1.jsp? HTTP/1.1" 200 8535
0:0:0:0:0:0:0:1 - - [21/Dec/2018:08:12:24 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:08:12:32 +0800] "GET /Book2/addAdmin1.jsp? HTTP/1.1" 200 8543
0:0:0:0:0:0:0:1 - - [21/Dec/2018:08:12:32 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:08:13:05 +0800] "GET /Book2/addAdmin1.jsp? HTTP/1.1" 200 8532
0:0:0:0:0:0:0:1 - - [21/Dec/2018:08:13:05 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
