127.0.0.1 - - [10/Dec/2018:14:29:09 +0800] "GET / HTTP/1.1" 200 11444
0:0:0:0:0:0:0:1 - - [10/Dec/2018:14:29:12 +0800] "GET /Book2/login.jsp HTTP/1.1" 200 2371
0:0:0:0:0:0:0:1 - - [10/Dec/2018:14:29:25 +0800] "POST /Book2/AdminServlet?action=login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Dec/2018:14:29:25 +0800] "GET /Book2/login.jsp HTTP/1.1" 200 2425
0:0:0:0:0:0:0:1 - - [10/Dec/2018:14:29:40 +0800] "POST /Book2/AdminServlet?action=login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Dec/2018:14:29:40 +0800] "GET /Book2/login.jsp HTTP/1.1" 200 2425
0:0:0:0:0:0:0:1 - - [10/Dec/2018:14:29:55 +0800] "POST /Book2/AdminServlet?action=login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Dec/2018:14:29:55 +0800] "GET /Book2/login.jsp HTTP/1.1" 200 2425
0:0:0:0:0:0:0:1 - - [10/Dec/2018:14:30:15 +0800] "POST /Book2/AdminServlet?action=login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Dec/2018:14:30:15 +0800] "GET /Book2/login.jsp HTTP/1.1" 200 2425
0:0:0:0:0:0:0:1 - - [10/Dec/2018:14:30:44 +0800] "POST /Book2/AdminServlet?action=login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Dec/2018:14:30:44 +0800] "GET /Book2/index.jsp HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [10/Dec/2018:14:30:44 +0800] "GET /Book2/top.jsp HTTP/1.1" 200 1061
0:0:0:0:0:0:0:1 - - [10/Dec/2018:14:30:44 +0800] "GET /Book2/left.jsp HTTP/1.1" 200 4156
0:0:0:0:0:0:0:1 - - [10/Dec/2018:14:30:44 +0800] "GET /Book2/addfl.jsp HTTP/1.1" 200 2174
0:0:0:0:0:0:0:1 - - [10/Dec/2018:14:30:45 +0800] "GET /Book2/js/ajax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2018:14:30:45 +0800] "GET /Book2/tu/32.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2018:14:30:45 +0800] "GET /Book2/music/qiYuan.mp3 HTTP/1.1" 206 1
0:0:0:0:0:0:0:1 - - [10/Dec/2018:14:30:46 +0800] "GET /Book2/music/qiYuan.mp3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2018:14:30:55 +0800] "GET /Book2/showAdmin.jsp HTTP/1.1" 200 2210
0:0:0:0:0:0:0:1 - - [10/Dec/2018:14:30:56 +0800] "POST /Book2/AdminServlet HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [10/Dec/2018:14:30:56 +0800] "GET /img/8/4/ecc79ed3-538d-4f4e-93f9-9fd5e762ac17_timg.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2018:14:30:59 +0800] "GET /Book2/adduser.jsp HTTP/1.1" 200 7003
0:0:0:0:0:0:0:1 - - [10/Dec/2018:14:31:00 +0800] "GET /Book2/UserServlet?action=showPasgeUser HTTP/1.1" 200 10553
0:0:0:0:0:0:0:1 - - [10/Dec/2018:14:31:01 +0800] "GET /img/1/c/735535f5-9b42-4ca9-9117-afb6105bfe2a_454.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2018:14:31:01 +0800] "GET /Book2/js/jquery-1.8.3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2018:14:31:01 +0800] "GET /img/2/1/2341ee21-3c89-419b-bdd9-d75b19a82220_cat.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2018:14:31:01 +0800] "GET /img/2/6/af790706-efac-4a06-989f-d2fd5d4d8b2a_u=1454919874,2315021588&fm=26&gp=0.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2018:14:31:01 +0800] "GET /img/5/8/9a4c18ff-8593-402c-8da3-1465c02238bc_22.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2018:14:31:01 +0800] "GET //Book2/tu/32.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2018:14:31:01 +0800] "GET /img/8/4/af6c6e1d-42a9-4687-b6d4-aef3bc263726_timg.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2018:14:31:04 +0800] "GET /Book2/BookServlet?action=showPasgeBook HTTP/1.1" 200 14884
0:0:0:0:0:0:0:1 - - [10/Dec/2018:14:31:06 +0800] "GET /Book2/addbook.jsp HTTP/1.1" 200 5389
0:0:0:0:0:0:0:1 - - [10/Dec/2018:14:31:06 +0800] "POST /Book2/FenleiServlet HTTP/1.1" 200 3222
0:0:0:0:0:0:0:1 - - [10/Dec/2018:14:31:08 +0800] "GET /Book2/addfl.jsp HTTP/1.1" 200 2174
0:0:0:0:0:0:0:1 - - [10/Dec/2018:14:31:09 +0800] "GET /Book2/FenleiServlet?action=showPasgefl HTTP/1.1" 200 9363
0:0:0:0:0:0:0:1 - - [10/Dec/2018:14:32:33 +0800] "GET /Book2/music/qiYuan.mp3 HTTP/1.1" 206 3324269
