0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:06:14 +0800] "GET /Book2/index.jsp HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:06:14 +0800] "GET /Book2/left.jsp HTTP/1.1" 200 3064
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:06:14 +0800] "GET /Book2/top.jsp HTTP/1.1" 200 1860
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:06:14 +0800] "GET /Book2/new.jsp HTTP/1.1" 200 712
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:06:14 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:06:16 +0800] "GET /Book2/addfl.jsp HTTP/1.1" 200 3325
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:06:50 +0800] "GET /Book2/addfl.jsp HTTP/1.1" 200 3380
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:06:51 +0800] "GET /Book2/addfl.jsp HTTP/1.1" 200 3380
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:06:54 +0800] "GET /Book2/FenleiServlet?action=showPasgefl HTTP/1.1" 200 11106
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:06:55 +0800] "GET /Book2/addfl.jsp HTTP/1.1" 200 3380
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:06:56 +0800] "GET /Book2/addfl.jsp HTTP/1.1" 200 3380
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:06:57 +0800] "GET /Book2/FenleiServlet?action=showPasgefl HTTP/1.1" 200 11106
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:06:59 +0800] "GET /Book2/addbook.jsp HTTP/1.1" 200 6240
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:06:59 +0800] "GET /Book2/tu HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:06:59 +0800] "POST /Book2/FenleiServlet HTTP/1.1" 200 3323
