127.0.0.1 - - [20/Dec/2018:08:52:20 +0800] "GET / HTTP/1.1" 200 11444
0:0:0:0:0:0:0:1 - - [20/Dec/2018:08:52:23 +0800] "GET /Bootstrap/XiaoYan.jsp HTTP/1.1" 200 3590
0:0:0:0:0:0:0:1 - - [20/Dec/2018:08:52:23 +0800] "GET /Bootstrap/bootstrapValidator.css HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [20/Dec/2018:08:52:23 +0800] "GET /Bootstrap/bootstrap/js/jquery.js HTTP/1.1" 200 97166
0:0:0:0:0:0:0:1 - - [20/Dec/2018:08:52:23 +0800] "GET /Bootstrap/bootstrap/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [20/Dec/2018:08:52:23 +0800] "GET /Bootstrap/bootstrap/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [20/Dec/2018:08:52:23 +0800] "GET /Bootstrap/bootstrap/js/bootstrapValidator.js HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [20/Dec/2018:08:52:23 +0800] "GET /Bootstrap/bootstrap/js/bootstrapValidator.js HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [20/Dec/2018:08:52:23 +0800] "GET /Bootstrap/tu/17.jpg HTTP/1.1" 404 989
0:0:0:0:0:0:0:1 - - [20/Dec/2018:08:52:23 +0800] "GET /Bootstrap/bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [20/Dec/2018:08:52:27 +0800] "POST /Bootstrap/BookServlet?action=add HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [20/Dec/2018:08:53:51 +0800] "GET /Bootstrap/XiaoYan.jsp HTTP/1.1" 200 3636
0:0:0:0:0:0:0:1 - - [20/Dec/2018:08:53:51 +0800] "GET /Bootstrap/bootstrap/js/bootstrapValidator.js HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [20/Dec/2018:08:53:51 +0800] "GET /Bootstrap/bootstrapValidator.css HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [20/Dec/2018:08:53:51 +0800] "GET /Bootstrap/bootstrap/js/bootstrapValidator.js HTTP/1.1" 404 1039
