127.0.0.1 - - [25/Dec/2018:09:56:58 +0800] "GET / HTTP/1.1" 200 11444
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:57:12 +0800] "GET /Book2/login.jsp HTTP/1.1" 200 5395
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:57:15 +0800] "GET /Book2/bootstrap/css/bootstrapValidator.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:57:15 +0800] "GET /Book2/bootstrap/js/bootstrapValidator.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:57:15 +0800] "GET /Book2/tu/t1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2018:10:03:26 +0800] "POST /Book2/AdminServlet HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [25/Dec/2018:10:03:30 +0800] "GET /Book2/addAdmin1.jsp? HTTP/1.1" 200 8498
0:0:0:0:0:0:0:1 - - [25/Dec/2018:10:03:30 +0800] "GET /Book2/iconfont/iconfont.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2018:10:03:30 +0800] "GET /Book2/tu/ta3.png HTTP/1.1" 200 838899
0:0:0:0:0:0:0:1 - - [25/Dec/2018:10:03:36 +0800] "GET /Book2/login.jsp HTTP/1.1" 200 5395
0:0:0:0:0:0:0:1 - - [25/Dec/2018:10:03:42 +0800] "POST /Book2/AdminServlet HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [25/Dec/2018:10:03:44 +0800] "POST /Book2/AdminServlet?action=login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2018:10:03:44 +0800] "GET /Book2/index.jsp HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [25/Dec/2018:10:03:44 +0800] "GET /Book2/top.jsp HTTP/1.1" 200 1566
0:0:0:0:0:0:0:1 - - [25/Dec/2018:10:03:44 +0800] "GET /Book2/left.jsp HTTP/1.1" 200 3064
